app_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1003730,602320,657240,384990,706390,706380,510930,527730,581220,982760,573060,256576,883960,285310,853850,659920,726000,938070,448780,403510,824450
1003750,899760,1158010,1101980,32720,1110650,444720,703320,687630,783240,1145560,577560,490390,1143680,828150,843890,770440,750960,1158910,1098250,1117970
1003830,573330,1126450,856120,728440,846080,1007970,596590,497160,680680,498330,572730,857600,754810,433790,947880,587420,752400,454160,845870,1184900
1003840,208600,514150,1145530,586680,734450,593090,848070,1097340,860680,949290,1122830,898690,220860,522530,503050,927990,403100,756100,758570,1099110
1003850,1112440,1133430,745270,293720,943640,384030,864950,50920,251810,522050,1178480,1149090,436470,569180,242720,1183650,492610,827860,747920,253490
1003880,453980,1184710,766600,986320,983990,1131360,880200,969970,1085080,1090540,1142000,467350,1177640,845290,712970,875100,403690,825930,787250,693450
1003890,855530,1005050,721380,258643,1150290,502820,3570,862940,959170,446470,1184400,1171820,445550,514870,446480,1154720,1160820,743030,696810,927850
1003940,782420,496850,586980,880340,1008070,658160,390560,959760,567890,1171230,1165720,384960,1214210,1126950,467820,400230,827860,679390,851040,746340
1003960,842070,719630,1184040,868950,688570,956880,570890,1157010,827130,387970,827120,667120,859530,840940,409100,518130,1110780,734380,714580,1091170
1004000,1084350,49409,948350,1118940,939560,1168320,1145810,826930,1141700,933540,934550,461490,701620,433600,916910,496620,49470,466420,686580,565200
1004030,725090,708890,1138380,570860,656600,735650,705250,954070,461230,418310,1132840,416790,938220,671370,677060,829260,1156420,713450,583700,1139780
1004050,792900,1123210,572010,675180,886420,846430,898690,1139200,843820,465970,451590,857700,659460,725950,456090,458510,841140,1131270,380700,450760
1004100,843270,1010860,991800,1105970,745890,434890,601750,961410,423810,1142460,467220,939210,665730,745790,1125110,491710,388340,205870,765240,503750
1004150,573270,1138910,1110670,898780,522710,879450,850450,12640,853220,467370,1141840,940300,494810,794820,696020,985870,855320,560640,505110,1103640
1004170,1175970,571020,601590,879450,780740,860450,567280,949960,1133640,794830,793970,1147200,991800,1158910,1107580,915730,846040,488460,1148960,510570
1004180,1131460,1156570,865330,438220,1155090,284970,390560,585560,523090,656600,707680,905340,1003940,1012360,1177730,760000,664030,751350,943880,384320
